File,Blank,Comment,Code
SliderSettingControl.cs,10,0,47
BuildScript.cs,5,0,46
CraftingSystem.cs,15,0,46
SlotData.cs,6,0,44
GameLaunchContext.cs,10,0,44
AutosaveServiceTests.cs,17,0,43
ProcessGuardTests.cs,12,0,43
MapUI.cs,12,0,42
ProcessGuard.cs,7,0,42
DropdownSettingControl.cs,10,0,40
AutosaveService.cs,6,0,38
NodeData.cs,6,0,38
IInventoryService.cs,4,3,37
PauseEscapeConsumer.cs,9,1,37
GameStateController.cs,7,0,37
ToggleSettingControl.cs,9,0,36
WeirdPotion.cs,6,0,36
Item.cs,5,2,34
FakeDisplayService.cs,8,0,32
PauseButton.cs,7,0,32
ExampleDamageCalculatorTests.cs,7,0,31
AudioSettingsCategory.cs,4,0,31
InventoryEscapeConsumer.cs,7,4,30
FakeMenuScreen.cs,8,0,29
EscapeRouter.cs,4,1,29
SceneTransitionService.cs,4,0,29
TitleCameraDrift.cs,4,0,29
UIColors.cs,7,6,29
VisionPotion.cs,6,0,29
IconCaptureSettings.cs,5,0,27
ItemIconHelper.cs,4,0,27
PauseInputHandler.cs,7,1,27
IconImportPostProcessor.cs,3,0,25
Sapling.cs,4,0,25
NewGameService.cs,3,0,25
ItemRegistryEditor.cs,3,0,24
MiningPotion.cs,6,0,24
SpeedPotion.cs,6,0,24
FakeMenuManager.cs,7,0,24
SettingsEscapeConsumer.cs,6,0,24
SettingsRowFactory.cs,4,0,23
Sign.cs,5,0,22
MenuScreenLocator.cs,4,0,22
Fire.cs,4,0,21
LightFlicker.cs,3,0,21
IPlayerPrefsBackend.cs,1,0,21
IDisplayService.cs,1,0,20
IGlowCoreObject.cs,4,4,19
Recipe.cs,2,0,19
FakeGameLaunchContext.cs,4,0,19
ProgressBarUI.cs,2,0,19
GlowCoreLevelConfig.cs,2,0,18
PlayerPrefsSettingsRepository.cs,8,0,18
Consumable.cs,3,2,17
RecipeRowTheme.cs,2,0,16
IItemContainer.cs,4,3,15
Map.cs,3,0,15
FakeSingleInstanceGuard.cs,4,0,15
FakePlayerPrefsBackend.cs,8,0,14
Readme.cs,2,0,14
CraftingStation.cs,1,0,13
IMenuManager.cs,1,0,13
MenuScreenId.cs,0,0,13
AudioBridge.cs,4,0,13
IAudioBridge.cs,1,0,13
ISaveDataGateway.cs,1,0,13
ISettingsRepository.cs,0,0,13
Block.cs,1,0,12
FakeSaveDataGateway.cs,4,0,12
ICraftingService.cs,3,3,11
SpinningObject.cs,2,0,11
DamageCalculator.cs,2,0,11
IGameStateController.cs,0,0,11
RecipeList.cs,2,0,10
IMenuScreen.cs,0,0,10
IGameLaunchContext.cs,0,0,10
Tool.cs,1,0,9
IMenuScreenLocator.cs,0,0,9
ISceneTransition.cs,0,0,9
ISingleInstanceGuard.cs,1,0,9
NullSingleInstanceGuard.cs,0,0,9
ISettingsCategory.cs,1,0,9
SettingControlKind.cs,0,0,9
GameLaunchMode.cs,0,0,8
IEscapeConsumer.cs,0,0,8
INewGameService.cs,0,0,8
ISettingControl.cs,0,0,8
TreeNode.cs,1,0,7
IMenuArgsReceiver.cs,0,0,7
NodeActionChild.cs,1,0,6
SaveService.cs,1,0,6
IHandItem.cs,1,0,5
ISaveService.cs,0,0,5
IWeapon.cs,0,0,5
IPlayerInventoryAware.cs,0,0,4
